PKOBP,20130102,37.35
KGHM,20130102,193.1
PGNIG,20130102,5.26
JSW,20130102,94.6
TPSA,20130102,12.16
PKOBP,20130103,37.35
KGHM,20130103,193.5
PGNIG,20130103,5.25
JSW,20130103,96.4
TPSA,20130103,12.13
PKOBP,20130104,36.7
KGHM,20130104,193.5
PGNIG,20130104,5.28
JSW,20130104,95.8
TPSA,20130104,12.5
PKOBP,20130107,36.13
KGHM,20130107,193
PGNIG,20130107,5.27
JSW,20130107,95.4
TPSA,20130107,12.87
PKOBP,20130108,35.6
KGHM,20130108,193.1
PGNIG,20130108,5.27
JSW,20130108,93.5
TPSA,20130108,12.73
PKOBP,20130109,35.99
KGHM,20130109,191
PGNIG,20130109,5.25
JSW,20130109,93.7
TPSA,20130109,12.75
PKOBP,20130110,36
KGHM,20130110,192
PGNIG,20130110,5.43
JSW,20130110,94.5
TPSA,20130110,12.79
PKOBP,20130111,35.92
KGHM,20130111,190.8
PGNIG,20130111,5.33
JSW,20130111,94.4
TPSA,20130111,12.75
PKOBP,20130114,36.39
KGHM,20130114,189
PGNIG,20130114,5.36
JSW,20130114,96.2
TPSA,20130114,12.76
PKOBP,20130115,36.11
KGHM,20130115,184
PGNIG,20130115,5.4
JSW,20130115,94.95
TPSA,20130115,12.78
PKOBP,20130116,36.3
KGHM,20130116,188
PGNIG,20130116,5.56
JSW,20130116,91.6
TPSA,20130116,12.68
PKOBP,20130117,36.49
KGHM,20130117,189.6
PGNIG,20130117,5.51
JSW,20130117,91.5
TPSA,20130117,12.6
PKOBP,20130118,36.28
KGHM,20130118,188
PGNIG,20130118,5.66
JSW,20130118,92.75
TPSA,20130118,12.76
PKOBP,20130121,35.77
KGHM,20130121,188.2
PGNIG,20130121,5.75
JSW,20130121,93.8
TPSA,20130121,12.68
PKOBP,20130122,35.3
KGHM,20130122,189.3
PGNIG,20130122,5.67
JSW,20130122,93.6
TPSA,20130122,12.37
PKOBP,20130123,34.76
KGHM,20130123,191
PGNIG,20130123,5.74
JSW,20130123,93.3
TPSA,20130123,12.18
PKOBP,20130124,34.85
KGHM,20130124,192
PGNIG,20130124,5.71
JSW,20130124,93.85
TPSA,20130124,12.15
PKOBP,20130125,34.7
KGHM,20130125,187.5
PGNIG,20130125,5.75
JSW,20130125,93
TPSA,20130125,11.92
PKOBP,20130128,34.8
KGHM,20130128,184.8
PGNIG,20130128,5.63
JSW,20130128,92.3
TPSA,20130128,11.99
PKOBP,20130129,34.9
KGHM,20130129,185.5
PGNIG,20130129,5.54
JSW,20130129,91.5
TPSA,20130129,11.99
PKOBP,20130130,34.4
KGHM,20130130,188
PGNIG,20130130,5.5
JSW,20130130,92.2
TPSA,20130130,11.94
PKOBP,20130131,34.63
KGHM,20130131,188.9
PGNIG,20130131,5.5
JSW,20130131,94
TPSA,20130131,12
PKOBP,20130201,34.5
KGHM,20130201,189.1
PGNIG,20130201,5.59
JSW,20130201,93.25
TPSA,20130201,12
PKOBP,20130204,34.6
KGHM,20130204,188
PGNIG,20130204,5.6
JSW,20130204,91.4
TPSA,20130204,11.76
PKOBP,20130205,34.59
KGHM,20130205,188.4
PGNIG,20130205,5.7
JSW,20130205,91
TPSA,20130205,11.65
PKOBP,20130206,34.55
KGHM,20130206,185.5
PGNIG,20130206,5.5
JSW,20130206,90.2
TPSA,20130206,11.6
PKOBP,20130207,35.17
KGHM,20130207,186.2
PGNIG,20130207,5.51
JSW,20130207,91.7
TPSA,20130207,11.52
PKOBP,20130208,35.58
KGHM,20130208,190
PGNIG,20130208,5.46
JSW,20130208,93.4
TPSA,20130208,11.7
PKOBP,20130211,35.35
KGHM,20130211,189
PGNIG,20130211,5.51
JSW,20130211,93.9
TPSA,20130211,11.64
PKOBP,20130212,35.4
KGHM,20130212,188.8
PGNIG,20130212,5.57
JSW,20130212,93.95
TPSA,20130212,8.39
PKOBP,20130213,35.3
KGHM,20130213,188.5
PGNIG,20130213,5.65
JSW,20130213,94.05
TPSA,20130213,7.73
PKOBP,20130214,35.5
KGHM,20130214,187.8
PGNIG,20130214,5.67
JSW,20130214,94.2
TPSA,20130214,7
PKOBP,20130215,35.36
KGHM,20130215,185.5
PGNIG,20130215,5.77
JSW,20130215,96.2
TPSA,20130215,7.1
PKOBP,20130218,35.36
KGHM,20130218,187.3
PGNIG,20130218,5.73
JSW,20130218,97.6
TPSA,20130218,7.3
PKOBP,20130219,34.93
KGHM,20130219,186
PGNIG,20130219,5.7
JSW,20130219,97.35
TPSA,20130219,7.13
PKOBP,20130220,34.65
KGHM,20130220,182.5
PGNIG,20130220,5.75
JSW,20130220,93.5
TPSA,20130220,7.01
PKOBP,20130221,34.49
KGHM,20130221,179
PGNIG,20130221,5.78
JSW,20130221,93.35
TPSA,20130221,6.78
PKOBP,20130222,34.63
KGHM,20130222,179.5
PGNIG,20130222,5.78
JSW,20130222,93.6
TPSA,20130222,6.72
PKOBP,20130225,35.07
KGHM,20130225,181.5
PGNIG,20130225,5.75
JSW,20130225,95
TPSA,20130225,6.8
PKOBP,20130226,34.9
KGHM,20130226,181
PGNIG,20130226,5.55
JSW,20130226,93.6
TPSA,20130226,6.85
PKOBP,20130227,35.08
KGHM,20130227,184
PGNIG,20130227,5.6
JSW,20130227,93.15
TPSA,20130227,6.74
PKOBP,20130228,35.6
KGHM,20130228,180.7
PGNIG,20130228,5.72
JSW,20130228,95
TPSA,20130228,6.8
PKOBP,20130301,35.3
KGHM,20130301,174
PGNIG,20130301,5.73
JSW,20130301,95.9
TPSA,20130301,7.27
PKOBP,20130304,34.45
KGHM,20130304,170.5
PGNIG,20130304,5.69
JSW,20130304,96.85
TPSA,20130304,7.35
PKOBP,20130305,35.05
KGHM,20130305,174
PGNIG,20130305,5.73
JSW,20130305,94.75
TPSA,20130305,7.35
PKOBP,20130306,34.75
KGHM,20130306,174
PGNIG,20130306,5.72
JSW,20130306,94.5
TPSA,20130306,7.32
PKOBP,20130307,34.61
KGHM,20130307,172.5
PGNIG,20130307,5.74
JSW,20130307,94.65
TPSA,20130307,7.15
PKOBP,20130308,34.2
KGHM,20130308,174
PGNIG,20130308,5.93
JSW,20130308,96.6
TPSA,20130308,7.21
PKOBP,20130311,34.78
KGHM,20130311,171.8
PGNIG,20130311,5.88
JSW,20130311,96.5
TPSA,20130311,7.08
PKOBP,20130312,34.7
KGHM,20130312,174.7
PGNIG,20130312,5.83
JSW,20130312,95.1
TPSA,20130312,7.01
PKOBP,20130313,35.09
KGHM,20130313,174.1
PGNIG,20130313,5.84
JSW,20130313,95.8
TPSA,20130313,6.83
PKOBP,20130314,35.5
KGHM,20130314,173.5
PGNIG,20130314,5.99
JSW,20130314,95.8
TPSA,20130314,6.86
PKOBP,20130315,35.01
KGHM,20130315,169.6
PGNIG,20130315,5.92
JSW,20130315,96.5
TPSA,20130315,6.8
PKOBP,20130318,34.82
KGHM,20130318,166
PGNIG,20130318,5.95
JSW,20130318,96.15
TPSA,20130318,6.87
PKOBP,20130319,34.4
KGHM,20130319,159.7
PGNIG,20130319,5.93
JSW,20130319,95.8
TPSA,20130319,6.66
PKOBP,20130320,34.47
KGHM,20130320,163
PGNIG,20130320,5.87
JSW,20130320,95.05
TPSA,20130320,6.71
PKOBP,20130321,34.2
KGHM,20130321,159
PGNIG,20130321,5.86
JSW,20130321,94.25
TPSA,20130321,6.8
PKOBP,20130322,33.75
KGHM,20130322,158.6
PGNIG,20130322,5.8
JSW,20130322,93.1
TPSA,20130322,6.75
PKOBP,20130325,34.08
KGHM,20130325,153.3
PGNIG,20130325,5.56
JSW,20130325,91
TPSA,20130325,6.66
PKOBP,20130326,34.53
KGHM,20130326,153
PGNIG,20130326,5.53
JSW,20130326,92.5
TPSA,20130326,6.44
PKOBP,20130327,34.72
KGHM,20130327,157.3
PGNIG,20130327,5.6
JSW,20130327,93.4
TPSA,20130327,6.4
PKOBP,20130328,34.55
KGHM,20130328,157.8
PGNIG,20130328,5.53
JSW,20130328,93.4
TPSA,20130328,6.67
PKOBP,20130402,34.65
KGHM,20130402,157.1
PGNIG,20130402,5.5
JSW,20130402,92
TPSA,20130402,6.7
PKOBP,20130403,34.45
KGHM,20130403,156
PGNIG,20130403,5.27
JSW,20130403,87.8
TPSA,20130403,6.43
PKOBP,20130404,34.31
KGHM,20130404,160
PGNIG,20130404,5.36
JSW,20130404,89.2
TPSA,20130404,6.57
PKOBP,20130405,34.79
KGHM,20130405,159.6
PGNIG,20130405,5.36
JSW,20130405,87.5
TPSA,20130405,6.42
PKOBP,20130408,34.65
KGHM,20130408,156.8
PGNIG,20130408,5.3
JSW,20130408,87.5
TPSA,20130408,6.31
PKOBP,20130409,34.8
KGHM,20130409,157.2
PGNIG,20130409,5.38
JSW,20130409,88.35
TPSA,20130409,6.3
PKOBP,20130410,34.65
KGHM,20130410,162.7
PGNIG,20130410,5.43
JSW,20130410,87
TPSA,20130410,6.25
PKOBP,20130411,34.98
KGHM,20130411,166.9
PGNIG,20130411,5.56
JSW,20130411,89.2
TPSA,20130411,6.34
PKOBP,20130412,34.56
KGHM,20130412,161.8
PGNIG,20130412,5.66
JSW,20130412,88.6
TPSA,20130412,6.63
PKOBP,20130415,34.3
KGHM,20130415,151.95
PGNIG,20130415,5.54
JSW,20130415,88.4
TPSA,20130415,6.66
PKOBP,20130417,34.2
KGHM,20130417,140.8
PGNIG,20130417,5.61
JSW,20130417,87.45
TPSA,20130417,6.7
PKOBP,20130418,33.31
KGHM,20130418,140.2
PGNIG,20130418,5.45
JSW,20130418,83
TPSA,20130418,6.51
PKOBP,20130419,33.94
KGHM,20130419,142.7
PGNIG,20130419,5.37
JSW,20130419,82.75
TPSA,20130419,6.65
PKOBP,20130422,33.45
KGHM,20130422,145.7
PGNIG,20130422,5.36
JSW,20130422,82.6
TPSA,20130422,6.65
PKOBP,20130423,33.2
KGHM,20130423,141
PGNIG,20130423,5.34
JSW,20130423,86.9
TPSA,20130423,6.69
PKOBP,20130424,33
KGHM,20130424,143.5
PGNIG,20130424,5.31
JSW,20130424,84
TPSA,20130424,6.68
PKOBP,20130425,32.81
KGHM,20130425,146
PGNIG,20130425,5.49
JSW,20130425,84.41
TPSA,20130425,6.69
PKOBP,20130426,32.72
KGHM,20130426,147.1
PGNIG,20130426,5.4
JSW,20130426,83.46
TPSA,20130426,6.66
PKOBP,20130429,32.8
KGHM,20130429,144.6
PGNIG,20130429,5.3
JSW,20130429,82
TPSA,20130429,6.71
PKOBP,20130430,32.9
KGHM,20130430,148
PGNIG,20130430,5.34
JSW,20130430,83.5
TPSA,20130430,7.04
PKOBP,20130502,32.8
KGHM,20130502,143.3
PGNIG,20130502,5.49
JSW,20130502,81
TPSA,20130502,7.43
PKOBP,20130506,33.5
KGHM,20130506,146.35
PGNIG,20130506,5.65
JSW,20130506,81.7
TPSA,20130506,7.54
PKOBP,20130507,34
KGHM,20130507,147.1
PGNIG,20130507,5.54
JSW,20130507,81
TPSA,20130507,7.3
PKOBP,20130508,33.8
KGHM,20130508,149
PGNIG,20130508,5.7
JSW,20130508,79.2
TPSA,20130508,7.4
PKOBP,20130509,33
KGHM,20130509,147
PGNIG,20130509,5.79
JSW,20130509,79.3
TPSA,20130509,7.55
PKOBP,20130510,33.18
KGHM,20130510,146.05
PGNIG,20130510,5.68
JSW,20130510,78.8
TPSA,20130510,7.55
PKOBP,20130513,33.65
KGHM,20130513,146
PGNIG,20130513,5.71
